mission,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cassini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.41,276.26,434.608,405.435,628.25,589.56,474.54,302.036,96.036,100.13,91.8,84.826,94.752,106.737,111.244,107.73,104.064,101.625,97.56,98.373,96.747,75.67,68.139,64.269,56.244,74.229,63.504,57.346,19.776,3.939,0,0,0
contour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.496,76.912,455.354,543.628,172.178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.936,140.714,358.34,856.52,632.776,580.336,97.014
dawn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.74,317.262,1105.61,750.766,520.904,556.738,68.172,66.424,70.794,129.352,124.982,203.642,13.11,150.328,194.028,8.74,97.014,1.748,0,0,0
deep_impact,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.11,199.272,635.398,991.116,703.57,155.572,278.806,67.298,80.408,80.408,80.408,80.408,46.322,34.96,26.22,0,0,0,0,0,0,0,0,0
deep_space_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.088,350.474,558.486,120.612,42.826,50.692,5.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
europa_clipper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,874,1278.662,2074.876,4588.5,4763.3,5179.324,3800.152,4126.154
galileo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.54,687.838,1014.714,551.494,1011.218,800.584,694.83,513.912,561.108,622.288,453.606,641.516,326.002,420.394,504.298,519.156,519.156,617.918,624.91,562.856,260.452,139.84,131.1,131.1,131.1,131.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.992,381.938,724.546,544.502,258.704,89.148,87.4,81.282,84.778,16.606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.488,586.454,1336.346,1084.634,903.716,260.452,61.18,26.22,0,0,0,0,0,0,0,0
