formulation_start,launch_year,mission_id,mission_label,destination,program_line,launch_vehicle,launch_vehicle_cost_2020,type,failure,failure_year,number_of_missions,combined_missions
,1962,lunar_ranger,Lunar Ranger,the_moon,Ranger,Atlas Agena B,856.80,Lunar Test Flight & Lunar Impact,Failed attempt,"1962,1962, 1962, 1963, 1964",9,"Ranger 1, 2, 3, 4, 5, 6, 7, 8, 9"
,1963,mariner_1_2,Mariner 1 & 2,venus,Mariner,Atlas Agena B,$212.00,Venus Flyby,Launch Failure,1963,2,"Mariner 1, 2"
,1965,mariner_3_4,Mariner 3 & 4,mars,Mariner,Atlas Agena D,$212.00,Mars Flyby,Failed attempt,1965,2,"Mariner 3, 4"
,1966,lunar_surveyor,Lunar Surveyor,the_moon,Surveyor,Atlas Centaur,"$1,186.50",Lunar Lander,Failed attempt,"1967, 1968",7,"Surveyor 1, 2, 3, 4, 5, 6, 7"
,1967,lunar_orbiter,Lunar Orbiter,the_moon,Lunar Orbiter,Atlas Agena D,338.50,Lunar Orbiter,,,5,"Lunar Orbiter 1, 2, 3, 4, 5"
,1967,mariner_5,Mariner 5,venus,Mariner,Atlas Agena D,106,Venus Flyby,,,,
,1969,mariner_6_7,Mariner 6 & 7,mars,Mariner,Atlas Centaur,$212.00,Mars Flyby,,,2,"Mariner 6, 7"
,1971,mariner_8_9,Mariner 8 & 9,mars,Mariner,Atlas Centaur,$212.00,Mars Flyby,Launch failure,1961,2,"Mariner 8, 9"
1969,1972,pioneer_10_11,Pioneer 10 & 11,outer_planets,Pioneer,Atlas Centaur,$219.80,Jupiter/Saturn Flyby,,,2,"Pioneer 10, 11"
1970,1974,mariner_10,Mariner 10,mercury,Mariner,Atlas Centaur,128.9,Venus/Mercury Flybys,,,,
1969,1976,viking,Viking,mars,Flagship,Titan IIIE-Centaur,$543.20,Mars Orbiter and Lander,,,2,"Viking 1, 2"
1972,1977,voyager,Voyager,outer_planets,Flagship,Titan IIIE-Centaur,$395.40,Jupiter/Saturn/Uranus/Neptune Flyby,,,2,"Voyager 1, 2"
1975,1978,pioneer_venus,Pioneer Venus,venus,Pioneer,Atlas Centaur,$174.80,Venus Orbiter & Probes,,,2,"Pioneer Venus 1, 2"
1984,1989,magellan,Magellan,venus,,STS,,Venus Orbiter,,,,
