fiscal_year,infl_mult_factor,cassini,contour,dart,dawn,deep_impact,deep_space_1,europa_clipper,galileo,genesis,grail,insight,juno,ladee,lucy,lunar_orbiter,lunar_prospector,lunar_ranger,lunar_surveyor,magellan,mariner_1_2,mariner_3_4,mariner_5,mariner_6_7,mariner_8_9,mariner_10,mars_perseverance,mars_observer,mars_odyssey,mars_pathfinder,maven,messenger,mer,mars_global_surveyor,mars_climate_orbiter,mars_reconnaisance_orbiter,msl_curiosity,near,new_horizons,osiris_rex,phoenix,pioneer_10_11,pioneer_venus,psyche,stardust,viking,viper,voyager
1960,8.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394.174,62.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,8.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554.116,321.632,0,115.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,8.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.96,0,623.162,580.336,0,67.298,277.932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,8.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.8,0,264.822,897.598,0,0,248.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965,8.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512.164,0,96.14,1065.406,0,0,141.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,7.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634.524,0,8.74,1045.304,0,0,20.102,95.266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308.522,0,0,764.75,0,0,8.74,105.754,263.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.4,0,0,288.42,0,0,0,29.716,549.746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,7.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.114,276.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.44,0,0,0,108.376,0,0
1970,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.338,598.69,7.866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.524,0,0,0,351.348,0,0
1971,6.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.748,273.562,117.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493.81,0,0,0,359.214,0,0
1972,6.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.58,457.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.06,0,0,0,1628.262,0,80.408
1973,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.928,326.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.598,0,0,0,2317.848,0,53.314
1974,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.322,0,0,0,2739.116,0,407.284
1975,4.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.826,238.602,0,0,832.048,0,672.98
1976,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.464,550.62,0,0,345.23,0,984.124
1977,4.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.102,571.596,0,0,221.996,0,522.652
1978,3.97,0,0,0,0,0,0,0,183.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.732,202.768,0,0,174.8,0,139.84
1979,3.56,0,0,0,0,0,0,0,687.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.472,78.66,0,0,43.7,0,145.958
1980,3.14,0,0,0,0,0,0,0,1014.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.472,72.542,0,0,21.85,0,166.06
1981,2.85,0,0,0,0,0,0,0,551.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.48,41.078,0,0,0,0,253.46
1982,2.68,0,0,0,0,0,0,0,1011.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.606,44.574,0,0,0,0,150.328
1983,2.6,0,0,0,0,0,0,0,800.584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.574,0,0,0,0,152.076
1984,2.49,0,0,0,0,0,0,0,694.83,0,0,0,0,0,0,0,0,0,0,253.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.574,0,0,0,0,166.934
1985,2.41,0,0,0,0,0,0,0,513.912,0,0,0,0,0,0,0,0,0,0,808.45,0,0,0,0,0,0,0,113.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.574,0,0,0,0,227.24
1986,2.36,0,0,0,0,0,0,0,561.108,0,0,0,0,0,0,0,0,0,0,1051.422,0,0,0,0,0,0,0,295.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.574,0,0,0,0,269.192
1987,2.28,0,0,0,0,0,0,0,622.288,0,0,0,0,0,0,0,0,0,0,920.322,0,0,0,0,0,0,0,312.892,0,0,0,0,0,0,0,0,0,0,0,0,0,32.338,45.448,0,0,0,0,252.586
1988,2.19,0,0,0,0,0,0,0,453.606,0,0,0,0,0,0,0,0,0,0,638.02,0,0,0,0,0,0,0,471.086,0,0,0,0,0,0,0,0,0,0,0,0,0,30.59,38.456,0,0,0,0,215.004
1989,2.09,0,0,0,0,0,0,0,641.516,0,0,0,0,0,0,0,0,0,0,526.148,0,0,0,0,0,0,0,1048.8,0,0,0,0,0,0,0,0,0,0,0,0,0,32.338,48.944,0,0,0,0,370.576
1990,1.98,58.41,0,0,0,0,0,0,326.002,0,0,0,0,0,0,0,0,0,0,360.088,0,0,0,0,0,0,0,1451.714,0,0,0,0,0,0,0,0,0,0,0,0,0,34.086,51.566,0,0,0,0,222.87
1991,1.9,276.26,0,0,0,0,0,0,420.394,0,0,0,0,0,0,0,0,0,0,378.442,0,0,0,0,0,0,0,1742.756,0,0,0,0,0,0,0,0,0,0,0,0,0,35.834,54.188,0,0,0,0,153.824
1992,1.84,434.608,0,0,0,0,0,0,504.298,0,0,0,0,0,0,0,0,0,0,394.174,0,0,0,0,0,0,0,1087.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.81,0,0,0,0,37.582
1993,1.79,405.435,0,0,0,0,0,0,519.156,0,0,0,0,0,0,0,0,0,0,61.18,0,0,0,0,0,0,0,185.288,0,27.094,0,0,0,0,0,0,0,0,0,0,0,76.912,0,0,0,0,0,43.7
1994,1.75,628.25,0,0,0,0,0,0,519.156,0,0,0,0,0,0,0,0,0,0,103.132,0,0,0,0,0,0,0,0,0,666.862,0,0,0,129.352,0,0,0,797.088,0,0,0,39.33,0,0,0,0,0,148.58
1995,1.7,589.56,0,0,0,0,0,0,617.918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956.156,0,0,0,699.2,0,0,0,576.84,0,0,0,21.85,0,0,0,0,0,37.582
1996,1.65,474.54,0,0,0,0,360.088,0,624.91,0,0,0,0,0,0,0,318.136,0,0,0,0,0,0,0,0,0,0,0,0,499.054,0,0,0,724.546,522.652,0,0,143.336,0,0,0,21.85,0,0,242.098,0,0,69.92
1997,1.61,302.036,0,0,0,0,350.474,0,562.856,6.992,0,0,0,0,0,0,180.044,0,0,0,0,0,0,0,0,0,0,0,0,103.132,0,0,0,187.036,1033.068,0,0,28.842,0,0,0,21.85,0,0,556.738,0,0,69.92
1998,1.59,96.036,3.496,0,0,0,558.486,0,260.452,381.938,0,0,0,0,0,0,41.078,0,0,0,0,0,0,0,0,0,0,0,567.226,40.204,0,0,0,170.43,695.704,0,0,97.888,0,0,0,0,0,0,476.33,0,0,69.92
1999,1.55,100.13,76.912,0,0,13.11,120.612,0,139.84,724.546,0,0,0,0,0,0,19.228,0,0,0,0,0,0,0,0,0,0,0,1865.99,0,0,14.858,0,114.494,237.728,0,0,126.73,0,0,0,0,0,0,216.752,0,0,0
2000,1.5,91.8,455.354,0,0,199.272,42.826,0,131.1,544.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954.408,0,0,83.904,165.186,111.872,52.44,0,0,115.368,0,0,0,0,0,0,37.582,0,0,0
2001,1.46,84.826,543.628,0,0,635.398,50.692,0,131.1,258.704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334.742,0,0,452.732,2587.04,79.534,0,104.88,0,87.4,6.118,0,0,0,0,0,40.204,0,0,0
2002,1.44,94.752,172.178,0,8.74,991.116,5.244,0,131.1,89.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.36,0,0,851.276,2426.224,52.44,0,506.92,49.818,13.11,262.2,0,0,0,0,0,37.582,0,0,15.732
2003,1.41,106.737,0,0,317.262,703.57,0,0,131.1,87.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.77,0,0,757.758,1506.776,52.44,0,1283.906,529.644,26.22,1080.264,0,105.754,0,0,0,48.944,0,0,6.992
2004,1.37,111.244,0,0,1105.61,155.572,0,0,0,81.282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.526,0,0,369.702,450.984,52.44,0,1621.27,1032.194,0,1224.474,0,222.87,0,0,0,59.432,0,0,17.48
2005,1.33,107.73,0,0,750.766,278.806,0,0,0,84.778,0,0,23.598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.4,0,0,67.298,264.822,52.44,0,1255.938,1026.95,0,1691.19,0,951.786,0,0,0,48.944,0,0,0
2006,1.28,104.064,0,0,520.904,67.298,0,0,0,16.606,0,0,353.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.4,0,0,71.668,264.822,52.44,0,405.536,2193.74,0,679.972,0,1236.71,0,0,0,57.684,0,0,0
2007,1.25,101.625,0,0,556.738,80.408,0,0,0,0,10.488,0,767.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.4,0,46.322,82.156,264.822,0,0,416.024,3642.832,0,164.312,0,1043.556,0,0,0,50.692,0,0,0
