fiscal_year,cassini,contour,dart,dawn,deep_impact,deep_space_1,europa_clipper,galileo,genesis,grail,insight,juno,ladee,lucy,lunar_orbiter,lunar_prospector,lunar_ranger,lunar_surveyor,magellan,mariner_1_2,mariner_3_4,mariner_5,mariner_6_7,mariner_8_9,mariner_10,mars_perseverance,mars_observer,mars_odyssey,mars_pathfinder,maven,messenger,mer,mars_global_surveyor,mars_climate_orbiter,mars_reconnaisance_orbiter,msl_curiosity,near,new_horizons,osiris_rex,phoenix,pioneer_10_11,pioneer_venus,psyche,stardust,viking,viper,voyager
1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564.604,62.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118.72,383.686,0,115.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.96,0,1741.882,964.022,0,182.666,277.932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.76,0,2006.704,1861.62,0,182.666,526.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721.924,0,2102.844,2927.026,0,182.666,667.736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1356.448,0,2111.584,3972.33,0,182.666,687.838,95.266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1664.97,0,2111.584,4737.08,0,182.666,696.578,201.02,263.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752.37,0,2111.584,5025.5,0,182.666,696.578,230.736,812.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752.37,0,2111.584,5025.5,0,182.666,696.578,230.736,1040.934,276.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.44,0,0,0,108.376,0,0
